,producto,estado,count
1,DETERGENTE P/ROPA,ZACATECAS,20884
2,LECHE ULTRAPASTEURIZADA,ZACATECAS,17309
3,LAVADORAS,ZACATECAS,16072
4,MAYONESA,ZACATECAS,15927
5,JABON DE TOCADOR,ZACATECAS,15926
6,FUD,ZACATECAS,15541
7,SHAMPOO,ZACATECAS,15012
8,CHILES EN LATA,ZACATECAS,14866
9,COMPONENTES DE AUDIO,ZACATECAS,14799
10,REFRESCO,ZACATECAS,13925
11,LECHE ULTRAPASTEURIZADA,YUCATÁN,35991
12,DETERGENTE P/ROPA,YUCATÁN,33390
13,REFRESCO,YUCATÁN,33235
14,FUD,YUCATÁN,31885
15,LAVADORAS,YUCATÁN,27013
16,CHILES EN LATA,YUCATÁN,24472
17,MAYONESA,YUCATÁN,23629
18,SHAMPOO,YUCATÁN,23433
19,PLANCHAS,YUCATÁN,22816
20,LECHE EN POLVO,YUCATÁN,22696
21,REFRESCO,VERACRUZ DE IGNACIO DE LA LLAVE,14576
22,LECHE ULTRAPASTEURIZADA,VERACRUZ DE IGNACIO DE LA LLAVE,12051
23,DETERGENTE P/ROPA,VERACRUZ DE IGNACIO DE LA LLAVE,10345
24,FUD,VERACRUZ DE IGNACIO DE LA LLAVE,9482
25,LAVADORAS,VERACRUZ DE IGNACIO DE LA LLAVE,9231
26,SHAMPOO,VERACRUZ DE IGNACIO DE LA LLAVE,8830
27,JABON DE TOCADOR,VERACRUZ DE IGNACIO DE LA LLAVE,8405
28,DESODORANTE,VERACRUZ DE IGNACIO DE LA LLAVE,8213
29,PANTALLAS,VERACRUZ DE IGNACIO DE LA LLAVE,7814
30,CHILES EN LATA,VERACRUZ DE IGNACIO DE LA LLAVE,7658
31,REFRESCO,TLAXCALA,43904
32,DETERGENTE P/ROPA,TLAXCALA,41398
33,LECHE ULTRAPASTEURIZADA,TLAXCALA,32169
34,JABON DE TOCADOR,TLAXCALA,30977
35,SHAMPOO,TLAXCALA,30235
36,CHILES EN LATA,TLAXCALA,25479
37,MAYONESA,TLAXCALA,24884
38,ACEITE,TLAXCALA,23236
39,TOALLA FEMENINA,TLAXCALA,22565
40,LECHE EN POLVO,TLAXCALA,22034
41,REFRESCO,TAMAULIPAS,22457
42,FUD,TAMAULIPAS,21113
43,DETERGENTE P/ROPA,TAMAULIPAS,20291
44,SHAMPOO,TAMAULIPAS,19141
45,JABON DE TOCADOR,TAMAULIPAS,17167
46,CHILES EN LATA,TAMAULIPAS,16008
47,DESODORANTE,TAMAULIPAS,15994
48,CEREALES,TAMAULIPAS,15398
49,PANTALLAS,TAMAULIPAS,15180
50,MAYONESA,TAMAULIPAS,15014
51,REFRESCO,TABASCO,28754
52,DETERGENTE P/ROPA,TABASCO,26431
53,LAVADORAS,TABASCO,26361
54,LECHE ULTRAPASTEURIZADA,TABASCO,25331
55,FUD,TABASCO,25004
56,VARIOS,TABASCO,21577
57,COMPONENTES DE AUDIO,TABASCO,21085
58,CHILES EN LATA,TABASCO,20949
59,JABON DE TOCADOR,TABASCO,19841
60,PLANCHAS,TABASCO,19808
61,REFRESCO,SONORA,34731
62,DETERGENTE P/ROPA,SONORA,31997
63,SHAMPOO,SONORA,24758
64,JABON DE TOCADOR,SONORA,23459
65,CHILES EN LATA,SONORA,21761
66,MAYONESA,SONORA,20210
67,LAVADORAS,SONORA,19217
68,DESODORANTE,SONORA,18399
69,PANTALLAS,SONORA,18304
70,GALLETAS,SONORA,18239
71,REFRESCO,SINALOA,33115
72,DETERGENTE P/ROPA,SINALOA,27177
73,SHAMPOO,SINALOA,22435
74,LAVADORAS,SINALOA,21207
75,COMPONENTES DE AUDIO,SINALOA,20827
76,JABON DE TOCADOR,SINALOA,20122
77,LECHE ULTRAPASTEURIZADA,SINALOA,18645
78,PANTALLAS,SINALOA,17650
79,MAYONESA,SINALOA,17138
80,REFRIGERADORES,SINALOA,16475
81,FUD,SAN LUIS POTOSÍ,10164
82,PANTALLAS,SAN LUIS POTOSÍ,8662
83,LAVADORAS,SAN LUIS POTOSÍ,7934
84,DETERGENTE P/ROPA,SAN LUIS POTOSÍ,7380
85,PLANCHAS,SAN LUIS POTOSÍ,7260
86,LECHE ULTRAPASTEURIZADA,SAN LUIS POTOSÍ,7095
87,REFRESCO,SAN LUIS POTOSÍ,6940
88,SHAMPOO,SAN LUIS POTOSÍ,6738
89,JABON DE TOCADOR,SAN LUIS POTOSÍ,6389
90,ESTUFAS,SAN LUIS POTOSÍ,6266
91,FUD,QUINTANA ROO,34846
92,REFRESCO,QUINTANA ROO,34367
93,LAVADORAS,QUINTANA ROO,32347
94,LECHE ULTRAPASTEURIZADA,QUINTANA ROO,31155
95,DETERGENTE P/ROPA,QUINTANA ROO,28691
96,COMPONENTES DE AUDIO,QUINTANA ROO,24836
97,PANTALLAS,QUINTANA ROO,24718
98,PLANCHAS,QUINTANA ROO,24526
99,SHAMPOO,QUINTANA ROO,24414
100,REFRIGERADORES,QUINTANA ROO,24096
101,LECHE ULTRAPASTEURIZADA,QUERÉTARO,27868
102,DETERGENTE P/ROPA,QUERÉTARO,26700
103,REFRESCO,QUERÉTARO,25494
104,LAVADORAS,QUERÉTARO,20625
105,FUD,QUERÉTARO,19574
106,JABON DE TOCADOR,QUERÉTARO,19544
107,SHAMPOO,QUERÉTARO,19417
108,CHILES EN LATA,QUERÉTARO,18556
109,COMPONENTES DE AUDIO,QUERÉTARO,16619
110,DESODORANTE,QUERÉTARO,16269
111,REFRESCO,PUEBLA,31597
112,LAVADORAS,PUEBLA,27076
113,LECHE ULTRAPASTEURIZADA,PUEBLA,24864
114,DETERGENTE P/ROPA,PUEBLA,24078
115,FUD,PUEBLA,20397
116,PLANCHAS,PUEBLA,19547
117,JABON DE TOCADOR,PUEBLA,19229
118,REFRIGERADORES,PUEBLA,19150
119,PANTALLAS,PUEBLA,19009
120,COMPONENTES DE AUDIO,PUEBLA,18907
121,LECHE ULTRAPASTEURIZADA,OAXACA,18078
122,REFRESCO,OAXACA,14501
123,DETERGENTE P/ROPA,OAXACA,14396
124,FUD,OAXACA,13850
125,LAVADORAS,OAXACA,12774
126,CHILES EN LATA,OAXACA,11053
127,COMPONENTES DE AUDIO,OAXACA,11026
128,JABON DE TOCADOR,OAXACA,10564
129,SHAMPOO,OAXACA,10361
130,PANTALLAS,OAXACA,10325
131,DETERGENTE P/ROPA,NUEVO LEÓN,50307
132,REFRESCO,NUEVO LEÓN,49592
133,LECHE ULTRAPASTEURIZADA,NUEVO LEÓN,43803
134,CHILES EN LATA,NUEVO LEÓN,40561
135,SHAMPOO,NUEVO LEÓN,39827
136,JABON DE TOCADOR,NUEVO LEÓN,38442
137,MAYONESA,NUEVO LEÓN,37607
138,FUD,NUEVO LEÓN,37200
139,TOALLA FEMENINA,NUEVO LEÓN,32895
140,DESODORANTE,NUEVO LEÓN,31875
141,REFRESCO,NAYARIT,8003
142,PANTALLAS,NAYARIT,7083
143,FUD,NAYARIT,6644
144,LAVADORAS,NAYARIT,6549
145,DETERGENTE P/ROPA,NAYARIT,5514
146,COMPONENTES DE AUDIO,NAYARIT,4999
147,SHAMPOO,NAYARIT,4975
148,JABON DE TOCADOR,NAYARIT,4680
149,REFRIGERADORES,NAYARIT,4578
150,PLANCHAS,NAYARIT,4509
151,REFRESCO,MÉXICO,194939
152,FUD,MÉXICO,149141
153,DETERGENTE P/ROPA,MÉXICO,132862
154,LECHE ULTRAPASTEURIZADA,MÉXICO,116522
155,JABON DE TOCADOR,MÉXICO,97330
156,YOGHURT,MÉXICO,94852
157,MAYONESA,MÉXICO,94286
158,CHILES EN LATA,MÉXICO,92539
159,SHAMPOO,MÉXICO,92307
160,CERVEZA,MÉXICO,91747
161,REFRESCO,MORELOS,9632
162,FUD,MORELOS,6909
163,DETERGENTE P/ROPA,MORELOS,5829
164,LAVADORAS,MORELOS,5485
165,PANTALLAS,MORELOS,4989
166,SHAMPOO,MORELOS,4908
167,REFRIGERADORES,MORELOS,4647
168,LECHE ULTRAPASTEURIZADA,MORELOS,4539
169,DESODORANTE,MORELOS,4521
170,JABON DE TOCADOR,MORELOS,4500
171,DETERGENTE P/ROPA,MICHOACÁN DE OCAMPO,40144
172,REFRESCO,MICHOACÁN DE OCAMPO,38016
173,LECHE ULTRAPASTEURIZADA,MICHOACÁN DE OCAMPO,31175
174,CHILES EN LATA,MICHOACÁN DE OCAMPO,25054
175,JABON DE TOCADOR,MICHOACÁN DE OCAMPO,24587
176,MAYONESA,MICHOACÁN DE OCAMPO,23988
177,LAVADORAS,MICHOACÁN DE OCAMPO,23886
178,SHAMPOO,MICHOACÁN DE OCAMPO,22475
179,FUD,MICHOACÁN DE OCAMPO,21763
180,COMPONENTES DE AUDIO,MICHOACÁN DE OCAMPO,20297
181,REFRESCO,JALISCO,81718
182,LECHE ULTRAPASTEURIZADA,JALISCO,81149
183,DETERGENTE P/ROPA,JALISCO,73854
184,FUD,JALISCO,61680
185,CHILES EN LATA,JALISCO,55783
186,JABON DE TOCADOR,JALISCO,55196
187,SHAMPOO,JALISCO,54409
188,MAYONESA,JALISCO,53886
189,DESODORANTE,JALISCO,46335
190,TOALLA FEMENINA,JALISCO,46019
191,REFRESCO,HIDALGO,18137
192,LAVADORAS,HIDALGO,16519
193,DETERGENTE P/ROPA,HIDALGO,15946
194,LECHE ULTRAPASTEURIZADA,HIDALGO,13537
195,COMPONENTES DE AUDIO,HIDALGO,13171
196,PLANCHAS,HIDALGO,12486
197,REFRIGERADORES,HIDALGO,12378
198,SHAMPOO,HIDALGO,12278
199,JABON DE TOCADOR,HIDALGO,11848
200,CHILES EN LATA,HIDALGO,11803
201,REFRESCO,GUERRERO,8932
202,FUD,GUERRERO,8846
203,DETERGENTE P/ROPA,GUERRERO,6455
204,SHAMPOO,GUERRERO,6283
205,LECHE ULTRAPASTEURIZADA,GUERRERO,5837
206,DESODORANTE,GUERRERO,5573
207,LAVADORAS,GUERRERO,5389
208,CERVEZA,GUERRERO,5289
209,JABON DE TOCADOR,GUERRERO,5169
210,CHILES EN LATA,GUERRERO,5020
211,REFRESCO,GUANAJUATO,49441
212,DETERGENTE P/ROPA,GUANAJUATO,36618
213,VARIOS,GUANAJUATO,35278
214,FUD,GUANAJUATO,33363
215,LECHE ULTRAPASTEURIZADA,GUANAJUATO,32633
216,LAVADORAS,GUANAJUATO,31037
217,CHILES EN LATA,GUANAJUATO,27190
218,JABON DE TOCADOR,GUANAJUATO,26788
219,SHAMPOO,GUANAJUATO,26772
220,MAYONESA,GUANAJUATO,25205
221,DETERGENTE P/ROPA,DURANGO,9696
222,LAVADORAS,DURANGO,9644
223,FUD,DURANGO,8866
224,REFRESCO,DURANGO,8579
225,PANTALLAS,DURANGO,8329
226,SHAMPOO,DURANGO,8074
227,COMPONENTES DE AUDIO,DURANGO,7876
228,JABON DE TOCADOR,DURANGO,7778
229,PLANCHAS,DURANGO,7732
230,CHILES EN LATA,DURANGO,7425
231,REFRESCO,DISTRITO FEDERAL,287463
232,FUD,DISTRITO FEDERAL,207569
233,LECHE ULTRAPASTEURIZADA,DISTRITO FEDERAL,175640
234,DETERGENTE P/ROPA,DISTRITO FEDERAL,173452
